"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Cole, Gerrit","543037","52.9","0.0","7.0","20.8","7.1","12.1","","","",""
"Cease, Dylan","656302","43.2","","","38.6","3.0","15.2","","","",""
"Gallen, Zac","668678","49.7","0.0","9.2","4.5","13.9","22.7","","","",""
"Castillo, Luis","622491","44.3","18.0","","22.1","15.6","","","","",""
"Mikolas, Miles","571945","26.0","24.4","","24.3","5.4","20.0","","","",""
"Giolito, Lucas","608337","41.9","0.1","","28.2","28.3","1.5","","","",""
"Webb, Logan","657277","4.1","33.2","","","41.6","","","","21.2",""
"Snell, Blake","605483","48.6","0.1","","13.1","18.4","19.8","","","",""
"Lynn, Lance","458681","43.7","12.7","22.7","","6.9","14.0","","","",""
"Wheeler, Zack","554430","43.3","18.2","14.4","","0.4","11.4","","","12.3",""
"Bassitt, Chris","605135","9.3","39.2","15.4","4.6","6.5","12.6","3.3","","9.0",""
"Keller, Mitch","656605","26.0","22.8","24.3","","2.8","8.0","","","16.1",""
"Strider, Spencer","675911","58.9","","","33.8","7.3","","","","",""
"Nola, Aaron","605400","29.7","18.7","7.5","","12.5","31.6","","","",""
"Burnes, Corbin","669203","","7.7","55.4","3.9","11.2","17.2","","","4.5",""
"Gausman, Kevin","592332","50.7","0.2","","10.2","","","38.3","","0.6",""
"Gibson, Kyle","502043","13.5","26.1","16.6","","17.0","8.4","","","18.4",""
"López, Pablo","641154","34.5","10.6","","","21.1","12.4","","","21.5",""
"Luzardo, Jesús","666200","41.3","8.5","0.4","28.9","21.0","","","","",""
"Oviedo, Johan","670912","38.8","5.2","","36.6","4.2","15.1","","","",""
"Valdez, Framber","664285","0.2","46.8","3.4","8.7","15.6","25.3","","","",""
"Berríos, José","621244","20.3","31.5","0.0","","18.5","","","","","29.6"
"Kremer, Dean","665152","36.6","15.1","23.8","","12.1","8.9","0.1","","3.3",""
"Gilbert, Logan","669302","41.8","0.4","","29.7","","13.4","14.8","","",""
"Corbin, Patrick","571578","17.0","41.5","","35.1","6.4","","","","",""
"Montgomery, Jordan","656756","10.9","42.7","1.2","0.2","22.9","22.2","","","",""
"Javier, Cristian","664299","58.4","","","0.1","4.1","7.5","","","29.9",""
"Sears, JP","676664","50.1","0.1","","15.4","15.1","0.0","","","19.1",""
"Elder, Bryce","693821","12.6","38.3","","35.3","13.8","","","","",""
"Morton, Charlie","450203","32.4","6.2","8.0","","10.3","43.2","","","",""
"Peralta, Freddy","642547","51.2","","","21.8","14.6","12.4","","","",""
"Walker, Taijuan","592836","17.6","23.2","17.2","","","5.7","33.2","","3.1",""
"Kirby, George","669923","39.8","21.2","","19.7","1.8","11.5","6.1","0.1","",""
"Gray, Sonny","543243","26.8","16.0","13.1","","6.7","16.9","","","20.5",""
"Kikuchi, Yusei","579328","45.2","0.4","","26.3","9.1","18.9","","","0.1",""
"Lyles, Jordan","543475","30.3","13.4","7.6","","10.9","13.1","","","24.7",""
"Gray, Josiah","680686","14.7","19.5","18.0","24.5","1.6","16.1","","","5.5",""
"Kelly, Merrill","518876","29.8","12.2","18.4","5.5","23.1","11.0","","","",""
"Senga, Kodai","673540","37.0","","25.0","5.8","","2.6","","","5.9",""
"Alcantara, Sandy","645261","21.6","28.7","","20.0","27.3","2.4","","","",""
"Brown, Hunter","686613","46.2","","23.6","","4.8","23.8","","","1.6",""
"Schmidt, Clarke","657376","0.0","24.0","28.0","","1.5","19.1","","","27.4",""
"Dunning, Dane","641540","2.4","33.9","20.0","23.4","15.6","4.7","","","",""
"Ryan, Joe","657746","56.8","0.0","","6.1","","","24.7","","12.3",""
"Steele, Justin","657006","62.8","1.6","","33.8","1.0","0.7","","","",""
"Bradish, Kyle","680694","22.2","22.7","","31.2","6.6","17.3","","","",""
"Flaherty, Jack","656427","41.3","2.5","8.3","25.3","3.2","19.4","","","",""
"Williams, Trevor","592866","43.1","14.7","","15.5","17.0","6.9","","","2.8",""
"Sandoval, Patrick","663776","25.2","11.4","","26.1","25.8","9.0","","","2.6",""
"Bello, Brayan","678394","20.6","36.3","1.5","11.8","23.9","","","","5.9",""
"Singer, Brady","663903","1.6","49.5","","42.0","6.3","","","","0.5",""
"Heaney, Andrew","571760","57.9","","","24.9","16.9","0.3","","","",""
"Verlander, Justin","434378","50.0","","","25.3","4.7","20.0","","","",""
"Detmers, Reid","672282","38.7","4.5","","30.9","5.4","19.4","","","1.1",""
"Eflin, Zach","621107","5.8","32.3","26.1","0.3","5.1","26.3","","","4.1",""
"Waldichuk, Ken","686610","54.3","0.0","","","16.6","2.0","","","27.1",""
"Taillon, Jameson","592791","35.1","9.6","22.0","0.4","3.1","14.8","","","15.1",""
"Hill, Rich","448179","34.0","4.2","14.7","1.9","2.2","36.1","","","6.9",""
"Cobb, Alex","502171","0.5","39.4","","5.1","","16.2","38.7","","",""
"Garrett, Braxton","666129","7.4","31.8","17.7","25.8","8.8","8.4","","","",""
"Scherzer, Max","453286","46.3","","10.4","16.8","14.1","12.4","","","",""
"Gore, MacKenzie","669022","59.5","","","18.7","2.9","18.4","","","0.5",""
"Anderson, Tyler","542881","37.4","5.6","22.1","0.8","33.9","0.2","","","",""
"Kopech, Michael","656629","61.6","","0.0","27.7","6.8","3.9","","","",""
"Freeland, Kyle","607536","18.2","27.9","23.6","","12.7","17.6","","","",""
"Smyly, Drew","592767","0.2","38.5","11.9","","","49.4","","","",""
"Gray, Jon","592351","42.2","0.2","","33.5","11.6","6.2","","","6.4",""
"Pivetta, Nick","601713","50.6","","7.8","11.1","","24.7","0.5","","5.4",""
"Lugo, Seth","607625","31.7","19.9","0.2","8.6","5.6","28.7","0.3","","2.2","2.9"
"Rodriguez, Eduardo","593958","45.3","9.5","19.1","7.2","18.9","","","","",""
"Lorenzen, Michael","547179","34.5","12.2","1.5","22.7","21.6","1.1","","","6.4",""
"Nelson, Ryne","669194","54.5","0.0","13.0","11.0","13.3","5.2","","","3.0",""
"Ober, Bailey","641927","45.7","","","2.4","28.0","6.7","","","17.1",""
"Bibee, Tanner","676440","46.9","0.1","27.0","","16.6","9.3","","","",""
"Ashcraft, Graham","668933","0.1","9.6","52.9","37.3","0.0","","","","",""
"Weaver, Luke","596133","41.7","1.8","11.0","10.5","20.0","11.8","","","3.1",""
"Megill, Tylor","656731","55.6","0.6","","20.7","14.0","8.6","0.5","","",""
"Eovaldi, Nathan","543135","37.2","0.0","17.6","4.1","","13.5","27.6","","",""
"Pérez, Martín","527048","5.0","41.8","22.0","1.0","26.5","3.7","","","",""
"Wacha, Michael","608379","28.7","13.3","12.2","0.3","34.5","11.0","","","",""
"Greinke, Zack","425844","26.7","15.6","7.0","20.0","16.5","14.1","","","",""
"Darvish, Yu","506433","16.7","18.6","8.9","17.7","0.1","11.7","7.7","","18.6",""
"Stroman, Marcus","573186","8.3","46.4","9.6","5.1","","","7.6","","","23.0"
"France, J.P.","641585","42.9","0.0","19.1","","15.2","13.7","","","9.1",""
"Gomber, Austin","596295","44.7","0.4","","20.1","18.1","16.8","","","",""
"Irvin, Jake","663623","36.1","28.2","","","5.2","30.6","","","",""
"Allen, Logan","671106","45.0","0.0","9.0","2.4","21.3","","","","22.3",""
"Hendricks, Kyle","543294","20.5","34.9","","","41.1","3.5","","","",""
"Rodriguez, Grayson","680570","49.6","","4.4","1.2","22.4","8.1","","","14.4",""
"Clevinger, Mike","605182","47.3","3.0","8.2","","12.8","1.6","","","27.1",""
"Crawford, Kutter","676710","39.2","0.0","28.2","6.3","","11.9","7.7","","6.7",""
"Ohtani, Shohei","660271","32.9","6.5","12.2","3.7","","3.7","5.8","","35.1",""
"Miller, Bryce","682243","58.1","7.6","0.5","18.9","5.3","0.9","0.3","","8.5",""
"Greene, Hunter","668881","54.6","","","40.2","4.9","0.1","0.3","","",""
"Canning, Griffin","656288","34.7","0.7","","29.9","21.3","13.4","","","",""
"Manaea, Sean","640455","13.9","43.0","0.0","13.9","17.0","","","","12.0",""
"Kershaw, Clayton","477132","36.8","0.2","","43.4","1.6","17.5","0.3","","",""
"Suárez, Ranger","624133","21.4","28.2","12.7","0.4","18.3","19.0","","","",""
"Rea, Colin","607067","19.1","30.1","26.4","","","7.9","5.6","","11.0",""
"Civale, Aaron","650644","12.4","18.5","37.2","5.8","","24.4","1.7","","0.1",""
"Peterson, David","656849","27.5","25.0","","19.8","18.9","8.8","","","",""
"Miller, Bobby","676272","25.4","22.7","","16.7","16.0","18.5","","","0.7",""
"Bieber, Shane","669456","35.2","","27.0","20.8","3.5","13.6","","","",""
"Medina, Luis","665622","41.4","14.4","","23.4","8.7","12.1","","","",""
"Williamson, Brandon","682227","37.1","0.1","29.8","0.8","16.5","6.3","","","9.4",""
"Wentz, Joey","666214","41.6","","25.1","","17.5","15.8","","","",""
"Wells, Tyler","669330","37.7","","19.7","16.3","18.5","7.8","","","",""
"Abbott, Andrew","671096","49.8","0.2","","","16.4","17.1","","","16.5",""
"Glasnow, Tyler","607192","43.6","","","34.8","0.3","21.3","","","",""
"Blackburn, Paul","621112","14.6","24.0","20.4","","11.2","11.7","","","18.1",""
"Miley, Wade","489119","19.4","4.6","44.3","4.9","24.6","2.2","","","",""
"Matz, Steven","571927","","56.1","","1.8","27.4","14.8","","","",""
"Houser, Adrian","605288","23.9","47.0","","16.6","4.0","8.5","","","",""
"Urías, Julio","628711","45.0","0.1","9.2","","15.7","","","","","30.0"
"Bradley, Taj","671737","44.9","0.1","24.8","","","16.7","13.6","","",""
"McClanahan, Shane","663556","41.8","0.1","","15.3","25.8","17.0","","","",""
"Cabrera, Edward","665795","27.4","9.8","","8.0","31.4","23.4","","","",""
"Wainwright, Adam","425794","10.0","31.4","22.6","0.3","5.0","30.8","","","",""
"Flexen, Chris","623167","41.0","1.9","29.2","6.7","16.0","2.3","","","3.0",""
"Martinez, Nick","607259","13.5","21.9","16.3","0.2","28.8","19.1","","","",""
"Olson, Reese","681857","29.7","18.7","","30.6","15.1","5.8","","","",""
"Houck, Tanner","656557","10.2","29.3","11.0","37.2","","","11.4","","0.9",""
"Assad, Javier","665871","19.6","30.6","27.3","3.0","4.0","5.0","","","10.5",""
"Quantrill, Cal","615698","16.0","26.5","24.1","","10.1","10.9","12.3","","",""
"Wood, Alex","622072","0.1","44.5","","26.1","29.3","","","","",""
"Maeda, Kenta","628317","27.0","6.8","","22.1","","3.6","31.9","","8.5",""
"Paxton, James","572020","53.7","3.6","16.3","","6.7","19.7","","","",""
"Manoah, Alek","666201","29.0","28.1","","30.0","12.9","","","","",""
"King, Michael","650633","23.3","32.9","","","14.5","","","","29.3",""
"Sale, Chris","519242","43.2","6.2","","37.5","13.1","","","","",""
"Gonsolin, Tony","664062","39.4","0.1","","18.3","","15.1","27.2","","",""
"Germán, Domingo","593334","27.7","10.8","","","20.6","40.9","","","",""
"Severino, Luis","622663","43.5","4.3","14.9","17.8","18.5","","","","1.0",""
"Pfaadt, Brandon","694297","45.3","9.9","","","12.2","5.5","","","27.0",""
"Toussaint, Touki","657053","23.6","26.5","","2.3","","28.8","18.8","","",""
"Carrasco, Carlos","471911","31.8","10.6","0.4","18.4","29.8","8.8","","","0.3",""
"Ragans, Cole","666142","40.1","","13.4","10.4","23.7","12.4","","","",""
"Seabold, Connor","657756","53.6","0.8","","30.5","13.3","1.8","","","",""
"Musgrove, Joe","605397","24.6","5.3","20.4","14.4","11.4","23.9","","","0.1",""
"DeSclafani, Anthony","543101","14.0","26.3","","44.8","9.8","5.1","","","",""
"Pérez, Eury","691587","45.4","","","30.8","9.8","14.0","","","",""
"Davies, Zach","605200","25.4","29.7","11.3","1.9","24.8","6.2","","","0.8",""
"Curry, Xzavion","675540","48.4","","","36.1","3.9","11.6","","","0.1",""
"Wesneski, Hayden","669713","28.9","19.6","10.3","0.3","4.9","","","","36.0",""
"Ortiz, Luis","682847","25.3","28.1","0.3","32.7","13.7","","","","",""
"Sánchez, Cristopher","650911","0.1","46.0","","21.1","32.8","","","","",""
"Muller, Kyle","666205","51.5","","","25.3","8.3","14.9","","","",""
"Stripling, Ross","548389","26.5","8.9","1.7","27.6","24.4","9.9","0.9","","",""
"Lambert, Peter","663567","44.6","","","21.2","20.0","3.2","","","11.1",""
"Woo, Bryan","693433","46.9","25.5","","15.1","3.7","","","","8.8",""
"Anderson, Chase","502624","24.6","13.9","26.3","0.3","22.9","4.1","","","7.8",""
"Scholtens, Jesse","669947","43.4","","","36.6","3.0","16.5","0.6","","",""
"Brito, Jhony","666745","16.5","32.7","","1.7","29.0","10.4","","","9.7",""
"Yarbrough, Ryan","642232","30.4","0.6","24.8","","18.2","","","","26.1",""
"Fujinami, Shintaro","660261","56.5","0.1","16.2","1.2","","0.1","19.8","","6.1",""
"Syndergaard, Noah","592789","18.0","26.1","12.5","6.8","22.2","14.1","0.3","","",""
"Bird, Jake","656234","0.2","59.2","13.2","7.1","0.2","20.0","","","",""
"Henry, Tommy","674072","48.9","0.1","","12.7","19.3","19.1","","","",""
"Junis, Jakob","596001","1.4","26.2","","62.5","9.9","","","","",""
"Bielak, Brandon","656232","30.6","21.6","","","24.8","11.1","","","11.9",""
"Williams, Gavin","668909","55.4","","","22.1","5.6","17.0","","","",""
"Winckowski, Josh","670174","5.1","38.1","31.6","20.1","5.1","","","","",""
"Lively, Ben","594902","32.5","21.5","4.8","1.2","10.2","6.6","","","23.1",""
"Strahm, Matt","621381","45.1","18.8","9.3","26.4","0.4","","","","",""
"Stratton, Chris","608717","54.3","0.5","","19.3","7.1","18.6","","","0.1",""
"Richards, Trevor","670950","43.4","","","0.5","56.1","","","","",""
"Barria, Jaime","642545","30.2","5.0","","50.7","14.1","","","","",""
"Marsh, Alec","679525","37.3","7.2","","9.8","14.9","14.9","","","15.9",""
"Chirinos, Yonny","630023","1.4","47.2","","25.8","","","25.6","","",""
"Littell, Zack","641793","31.1","10.2","","32.1","","","19.2","","7.4",""
"Hudson, Dakota","641712","22.3","37.6","","32.4","2.4","5.2","","","",""
"Brash, Matt","666374","33.7","3.0","3.9","51.0","0.1","8.4","","","",""
"Beck, Tristan","663941","36.6","0.1","","33.1","0.4","7.9","","","22.0",""
"Falter, Bailey","663559","45.3","6.3","","18.9","4.6","22.5","2.4","","",""
"Tonkin, Michael","543859","61.2","","","37.3","","","","","1.6",""
