"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Irvin, Cole","608344","25.8","22.9","15.9","","21.1","14.3","","","",""
"Blach, Ty","621389","0.4","54.6","16.5","","22.1","6.4","","","",""
"Montero, Rafael","606160","49.2","14.7","","14.0","22.1","","","","",""
"Hernández, Carlos","672578","55.9","0.1","","23.7","","9.2","11.2","","",""
"Fried, Max","608331","32.1","12.9","4.4","6.4","16.5","23.1","","","4.7",""
"McGough, Scott","543518","50.6","0.5","","9.3","","","39.6","","",""
"Quintana, Jose","500779","24.5","32.1","","","18.1","20.4","","","","4.9"
"Bickford, Phil","641360","71.0","0.1","","26.9","2.0","","","","",""
"Merryweather, Julian","657240","40.8","0.1","","49.2","7.5","","","","2.4",""
"Farmer, Buck","571656","43.0","0.1","","33.9","23.1","","","","",""
"Skubal, Tarik","669373","36.0","12.1","","20.7","24.1","6.8","0.2","","",""
"Gibaut, Ian","664139","44.1","","27.0","","8.1","","","","20.8",""
"Abreu, Bryan","650556","41.0","0.2","","58.7","","0.1","","","",""
"Scott, Tanner","656945","47.3","0.1","","52.6","","","","","",""
"López, Reynaldo","625643","63.9","0.4","","29.4","5.4","0.9","","","",""
"Barlow, Scott","605130","21.4","7.9","","26.0","","33.6","","","11.1",""
"Holton, Tyler","663947","27.9","12.3","19.4","","22.5","3.6","","","14.2",""
"Whitlock, Garrett","676477","5.4","47.5","","0.2","24.1","","","","22.8",""
"Morgan, Eli","669212","40.4","","","25.4","31.7","2.5","","","",""
"Lawrence, Justin","664875","","51.3","","","","","","","48.7",""
"Manning, Matt","666159","47.6","","","","3.6","17.3","","","31.6",""
"Boyd, Matthew","571510","39.0","6.6","","28.4","18.7","7.4","","","",""
"Cuas, Jose","621016","19.9","49.4","","19.6","4.1","","","","7.0",""
"Thompson, Zack","668868","53.7","","","17.0","2.1","27.3","","","",""
"Díaz, Alexis","664747","48.3","0.3","","51.5","","","","","",""
"Wilson, Bryse","669060","16.6","34.7","34.5","","0.7","13.4","0.1","","",""
"Lange, Alex","656638","4.6","26.7","","","10.1","58.6","","","",""
"Grove, Michael","675627","31.9","5.0","6.7","39.0","0.3","17.0","","","",""
"Contreras, Roansy","672710","40.2","","","43.5","3.9","11.7","","","0.8",""
"Pallante, Andre","669467","66.1","2.9","","17.6","","13.4","","","",""
"Doval, Camilo","666808","0.3","29.7","33.8","36.2","","","","","",""
"Rodón, Carlos","607074","60.3","","0.1","28.9","4.3","6.4","","","",""
"Suter, Brent","608718","30.6","30.4","","10.8","28.3","","","","",""
"Stephan, Trevor","663986","47.7","","","24.1","","","28.1","","",""
"Estévez, Carlos","608032","66.3","0.5","","26.6","6.2","0.4","","","",""
"Hoeing, Bryan","663773","9.1","52.5","","31.8","2.3","","4.4","","",""
"Rogers, Tyler","643511","1.0","50.2","","48.8","","","","","",""
"Kimbrel, Craig","518886","67.2","","","","","31.8","","","1.0",""
"Cruz, Fernando","518585","35.0","0.6","23.9","4.6","","","35.9","","",""
"Payamps, Joel","606303","20.0","24.0","","43.8","12.2","","","","",""
"Clase, Emmanuel","661403","0.1","0.4","67.5","32.0","","","","","",""
"Hicks, Jordan","663855","10.8","64.2","","3.5","","","1.6","","19.9",""
"Graveman, Kendall","608665","22.5","39.4","","26.8","9.1","2.2","","","",""
"Harris, Hogan","663687","46.9","","18.9","","20.3","3.3","","","10.6",""
"Finnegan, Kyle","640448","69.9","0.1","","5.0","","","25.0","","",""
"Bednar, David","670280","57.9","0.1","","","","25.4","16.6","","",""
"García, Yimi","554340","33.6","15.4","","10.5","7.3","32.8","","","0.4",""
"Bummer, Aaron","607481","6.5","44.4","10.6","","0.5","","","","38.0",""
"Urquidy, José","664353","38.1","9.9","","","21.6","11.6","","","18.7",""
"Neris, Héctor","593576","51.9","15.4","","3.9","","","28.8","","",""
"Varland, Louis","686973","42.6","1.0","","32.0","11.3","","","","13.1",""
"Kaprielian, James","621076","41.3","14.1","0.2","30.3","8.0","6.1","","","",""
"Johnson, Pierce","572955","35.2","","","8.0","","56.7","","","",""
"Smith, Drew","622098","61.2","0.1","0.1","20.8","9.3","8.5","","","",""
"Teheran, Julio","527054","9.4","38.7","28.7","","11.8","11.5","","","",""
"Walker, Ryan","676254","1.1","48.5","","50.3","","0.1","","","",""
"Weathers, Ryan","677960","53.7","2.5","","","23.5","","","","20.3",""
"Baumann, Mike","657508","51.4","","","20.8","2.4","25.4","","","",""
"Cortes, Nestor","641482","52.4","0.1","28.8","2.0","2.8","","","","13.9",""
"Clarke, Taylor","664199","28.9","0.1","","37.0","15.4","","","","18.6",""
"Robertson, David","502085","","0.1","53.4","19.9","1.4","25.2","","","",""
"Kelly, Kevin","687330","1.4","47.8","9.8","","","","","","40.9",""
"Ferguson, Caleb","657571","66.5","","30.2","","","","","","2.5","0.8"
"Minter, A.J.","621345","47.2","","38.9","","13.9","","","","",""
"Pagán, Emilio","641941","55.0","","30.1","","","2.5","12.3","","",""
"Liberatore, Matthew","669461","36.7","19.9","0.1","12.7","8.1","22.4","","","",""
"Swanson, Erik","657024","34.7","","","17.8","","","47.5","","",""
"Sims, Lucas","608371","43.4","0.2","","1.5","","5.9","","","49.1",""
"Leiter Jr., Mark","643410","8.6","27.7","20.6","","","9.1","34.0","","",""
"Yates, Kirby","489446","53.9","","","0.2","","","44.6","","1.3",""
"Ginkel, Kevin","656464","46.0","11.0","","43.0","","","","","",""
"Erceg, Lucas","668674","27.3","31.4","4.5","14.7","22.1","","","","",""
"De Los Santos, Enyel","660853","60.5","","","30.4","9.1","","","","",""
"Jax, Griffin","643377","22.5","12.9","2.9","","8.9","0.1","","","52.7",""
"Santos, Gregory","666619","0.3","45.8","","52.6","1.2","","","","",""
"Foley, Jason","671345","0.3","69.0","","17.4","13.4","","","","",""
"Topa, Justin","623437","","44.6","18.5","","6.8","","","","30.0",""
"Abreu, Albert","656061","5.9","51.6","","28.1","14.4","","","","",""
"Woodruff, Brandon","605540","41.2","21.8","","9.8","19.7","7.6","","","",""
"Hader, Josh","623352","","73.4","","23.2","3.4","","","","",""
"VerHagen, Drew","572403","27.3","17.9","12.6","","11.2","","","","31.1",""
"Maton, Phil","664208","","4.1","32.1","","","40.4","","","23.4",""
"Sewald, Paul","623149","56.9","0.3","","","","","","","42.8",""
"Faedo, Alex","656412","48.5","","","38.1","13.3","","","","",""
"Sheehan, Emmet","686218","59.9","0.1","","18.9","17.2","","","","3.9",""
"Milner, Hoby","571948","18.6","31.0","","","17.3","","","","33.1",""
"Moll, Sam","594580","25.9","34.9","","","1.4","","","","37.9",""
"Holmes, Clay","605280","0.2","69.3","","20.9","","","","","9.6",""
"Ottavino, Adam","493603","5.6","37.7","15.0","0.1","13.9","","","","27.7",""
"Pressly, Ryan","519151","23.1","0.2","1.2","40.0","8.9","26.6","","","",""
"Okert, Steven","595345","38.6","0.1","","61.3","","","","","",""
"McHugh, Collin","543521","3.9","","45.8","","0.4","2.0","","","47.9",""
"Duran, Jhoan","661395","44.9","","","","","27.7","27.3","","",""
"Cano, Yennier","666974","3.3","55.3","","13.5","27.9","","","","",""
"Brazobán, Huascar","623211","16.6","22.3","32.7","","28.4","","","","",""
"García, Luis","472610","11.1","46.2","","0.5","","","8.1","","34.1",""
"Castro, Miguel","612434","3.8","39.1","","41.7","15.5","","","","",""
"Chapman, Aroldis","547973","47.5","16.5","","29.0","","","7.0","","",""
"Banks, Tanner","621383","35.3","2.9","","30.4","16.5","","","","15.0",""
"Sandlin, Nick","680704","26.5","19.5","","49.7","","","4.4","","",""
"Jackson, Andre","656578","44.6","","","17.0","32.0","6.5","","","",""
"Diekman, Jake","518617","31.5","32.3","3.6","","14.7","","","","17.9",""
"Kluber, Corey","446372","2.0","26.6","27.4","","15.9","28.2","","","",""
"Bautista, Félix","642585","","70.4","","4.8","","","24.8","","",""
"Cisnero, José","542585","37.6","20.5","12.3","19.8","9.8","","","","",""
"Raley, Brooks","548384","0.7","24.9","23.0","","15.1","","","","36.3",""
"Hamilton, Ian","641656","22.2","23.6","","54.2","","","","","",""
"Leclerc, José","600917","35.9","3.2","16.0","31.6","13.3","","","","",""
"Gott, Trevor","641627","22.1","27.7","39.0","","4.1","7.1","","","",""
"Bradford, Cody","674003","54.5","","13.3","4.4","27.7","","","","",""
"Hand, Brad","543272","32.4","17.8","","","","","","","49.8",""
"López, Jorge","605347","15.9","34.4","","16.3","11.6","21.8","","","",""
"Soto, Gregory","642397","17.7","43.1","","39.0","0.2","","","","",""
"Harvey, Hunter","640451","60.0","","","13.9","","7.4","18.7","","",""
"Moreta, Dauri","664294","26.4","","","64.8","8.8","","","","",""
"Ramírez, Erasmo","541640","4.7","29.3","43.7","5.4","7.7","8.1","","","1.1",""
"Floro, Dylan","571670","32.6","33.4","","22.2","11.9","","","","",""
"Alzolay, Adbert","640470","20.0","20.1","8.4","46.6","0.5","","","","4.4",""
"Law, Derek","571882","19.4","11.7","36.0","17.7","4.8","10.4","","","",""
"Englert, Mason","669438","30.3","","","35.6","26.7","0.7","","","","6.7"
"Nardi, Andrew","677053","61.3","","","37.8","0.9","","","","",""
"Puk, A.J.","640462","51.2","4.9","","0.9","0.8","","0.4","","41.7",""
"Fulmer, Michael","605242","28.5","11.2","22.0","","7.7","0.1","","","30.5",""
"Williams, Devin","642207","39.0","","3.1","","57.9","","","","",""
"Cabrera, Génesis","650893","35.7","14.7","32.1","","4.1","13.3","","","",""
"Martinez, Adrián","661309","58.0","1.2","","17.4","23.4","","","","",""
"Honeywell, Brent","641703","45.3","2.2","","0.5","26.6","","","","17.5",""
"Bido, Osvaldo","674370","27.8","23.6","2.4","36.3","9.9","","","","",""
"Wilson, Steven","621051","36.4","","0.9","","3.2","","","","59.6",""
"Jiménez, Joe","641729","62.2","","","30.7","7.1","","","","",""
"Bard, Daniel","453268","9.5","41.6","","45.3","0.2","","","","","3.3"
"Holderman, Colin","670059","0.1","50.0","20.3","","","","","","29.6",""
"Graterol, Brusdar","660813","10.5","43.4","21.7","24.3","","","","","",""
"Webb, Jacob","657097","48.9","","","","27.6","","","","23.5",""
"Poche, Colin","621363","65.0","","","35.0","","","","","",""
"Adon, Joan","672851","40.6","12.6","","11.3","15.2","20.5","","","",""
"Chafin, Andrew","605177","20.8","43.2","","35.1","0.9","","","","",""
"Weems, Jordan","607179","48.0","","","43.4","","0.7","7.9","","",""
"Romano, Jordan","605447","45.8","","","54.2","","","","","",""
"Phillips, Evan","623465","19.9","10.7","23.9","","","","","","45.5",""
"Burke, Brock","656271","64.4","5.6","","18.8","11.2","","","","",""
"Peguero, Elvis","665625","","49.1","","50.9","","","","","",""
"Woodford, Jake","663765","6.2","50.8","5.6","1.0","4.1","10.1","","","22.2",""
"Adam, Jason","592094","33.4","","","1.3","35.2","","","","30.0",""
"Blanco, Ronel","669854","40.2","","","48.6","9.0","2.2","","","",""
"Brasier, Ryan","518489","36.0","15.1","13.5","35.4","","","","","",""
"Thompson, Mason","666168","6.9","56.0","","28.5","0.2","8.4","","","",""
"Avila, Pedro","658648","30.4","23.0","","","25.6","20.1","","","0.9",""
"Marinaccio, Ron","676760","51.5","0.1","","","37.2","","","","11.2",""
"Silseth, Chase","681217","35.6","14.2","8.4","2.7","","2.4","16.7","","20.0",""
"Leone, Dominic","608678","37.5","1.1","31.5","29.9","","","","","",""
"Gallegos, Giovanny","606149","50.2","","","46.3","3.5","","","","",""
"Soriano, George","666277","40.4","","","37.9","21.6","","","","",""
"Nelson, Kyle","669459","33.1","","7.6","59.2","","","","","",""
"Peralta, Wandy","593974","4.2","38.5","","13.1","44.2","","","","",""
"Young, Alex","622065","3.5","36.3","","","35.9","24.3","","","",""
"Keller, Brad","641745","31.2","10.3","","23.9","12.3","19.7","","","2.5",""
"Pérez, Cionel","672335","26.5","37.1","","0.1","","6.5","","","","29.9"
"Iglesias, Raisel","628452","34.7","14.6","","15.4","35.3","","","","",""
"Murphy, Chris","669684","38.6","0.1","","31.7","6.3","18.3","","","4.9",""
"Hoffman, Jeff","656546","27.4","6.9","","47.9","","","17.8","","",""
"Priester, Quinn","682990","18.9","34.1","","23.3","10.6","13.0","","","",""
"Shuster, Jared","694363","43.9","0.2","","32.9","23.0","","","","",""
"Stanek, Ryne","592773","64.2","","","17.6","","","18.2","","",""
"Bernardino, Brennan","657514","0.2","55.7","","","1.4","42.7","","","",""
"Smith, Will","519293","38.9","","","50.2","2.9","8.0","","","",""
"Hernandez, Jose E.","669796","33.2","","","55.9","10.9","","","","",""
"Cueto, Johnny","456501","34.5","19.7","2.3","23.8","19.3","0.3","","","",""
"Domínguez, Seranthony","622554","38.4","29.9","","27.7","4.0","","","","",""
"Middleton, Keynan","641871","26.3","","","30.8","42.9","","","","",""
"Vesia, Alex","681911","67.9","0.2","","30.5","1.4","","","","",""
"Vasquez, Andrew","607755","7.3","4.3","","81.8","1.5","5.0","","","",""
"Hentges, Sam","656529","31.2","18.1","","14.7","","36.0","","","",""
"Davidson, Tucker","656353","35.2","2.0","","44.3","","","7.4","","11.1",""
"Lauer, Eric","641778","43.1","0.1","35.4","8.2","0.7","12.4","","","",""
"Cosgrove, Tom","676680","24.0","23.4","","","0.4","","","","52.2",""
"Loup, Aaron","571901","1.7","54.5","22.2","","17.6","4.1","","","",""
"Muñoz, Andrés","662253","32.3","19.1","","48.6","","","","","",""
"Sborz, Josh","622250","36.2","","","38.0","","25.8","","","",""
"Rogers, Taylor","573124","0.7","40.8","2.0","","","","","","56.5",""
"Moore, Matt","519043","47.9","0.1","","","31.3","20.7","","","",""
"Ryu, Hyun Jin","547943","27.5","13.7","18.9","","22.8","17.1","","","",""
"Coulombe, Danny","543056","8.6","18.1","43.0","","1.9","10.7","","","17.7",""
"Schreiber, John","670167","28.6","25.9","0.2","","7.8","","","","37.5",""
"Ruiz, José","614179","31.7","20.2","","","13.1","35.0","","","",""
"Gonzales, Marco","594835","28.1","8.8","8.8","","30.2","24.2","","","",""